Invoice Date,Invoice Number,Invoice Status,Customer Name,SKU,Quantity,Item Price,Invoice Line Amount,Notes,Reference Number,row_id,merchant_order_id,Validation_Flag,settlement_id
2025-08-30,AMZN3250656,Draft,Amazon.ca,SALTT30-BLUE,1.0,60.0,60.0,Order 702-8856509-3250656-24391894961_212,24391894961,212,702-8856509-3250656,Valid,24391894961
2025-08-29,AMZN9949808,Draft,Amazon.ca,SALTT30-ORNG,1.0,60.0,60.0,Order 701-9652952-9949808-24391894961_216,24391894961,216,701-9652952-9949808,Valid,24391894961
2025-09-01,AMZN9622624,Draft,Amazon.ca,SALTT30-BLUE,1.0,60.0,60.0,Order 702-9638847-9622624-24391894961_220,24391894961,220,702-9638847-9622624,Valid,24391894961
2025-09-01,AMZN9775406,Draft,Amazon.ca,SALTT30-LMLM,1.0,60.0,60.0,Order 701-4521567-9775406-24391894961_226,24391894961,226,701-4521567-9775406,Valid,24391894961
2025-08-29,AMZN1158631,Draft,Amazon.ca,SALTT15-ALLT,1.0,35.0,35.0,Order 701-7641265-1158631-24391894961_230,24391894961,230,701-7641265-1158631,Valid,24391894961
2025-08-29,AMZN0198669,Draft,Amazon.ca,SALTT30-SUMR,1.0,60.0,60.0,Order 701-7760636-0198669-24391894961_234,24391894961,234,701-7760636-0198669,Valid,24391894961
2025-08-29,AMZN1137035,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-0191389-1137035-24391894961_238,24391894961,238,701-0191389-1137035,Valid,24391894961
2025-08-30,AMZN9302633,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 702-8935554-9302633-24391894961_242,24391894961,242,702-8935554-9302633,Valid,24391894961
2025-09-01,AMZN0250631,Draft,Amazon.ca,SALTT15-ALLT,1.0,35.0,35.0,Order 702-0594927-0250631-24391894961_246,24391894961,246,702-0594927-0250631,Valid,24391894961
2025-09-01,AMZN0482659,Draft,Amazon.ca,SALTT15-FRUT,1.0,35.0,35.0,Order 701-9354910-0482659-24391894961_250,24391894961,250,701-9354910-0482659,Valid,24391894961
2025-09-01,AMZN8791470,Draft,Amazon.ca,SALTT15-FRUT,1.0,35.0,35.0,Order 701-0148205-8791470-24391894961_254,24391894961,254,701-0148205-8791470,Valid,24391894961
2025-08-31,AMZN3949017,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 701-8757043-3949017-24391894961_258,24391894961,258,701-8757043-3949017,Valid,24391894961
2025-08-31,AMZN1101826,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-6033445-1101826-24391894961_262,24391894961,262,701-6033445-1101826,Valid,24391894961
2025-09-01,AMZN4460228,Draft,Amazon.ca,SALTT30-BLUE,1.0,60.0,60.0,Order 702-2778700-4460228-24391894961_266,24391894961,266,702-2778700-4460228,Valid,24391894961
2025-09-01,AMZN5540245,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 701-2378593-5540245-24391894961_270,24391894961,270,701-2378593-5540245,Valid,24391894961
2025-09-01,AMZN3317810,Draft,Amazon.ca,SALTT30-LMLM,1.0,60.0,60.0,Order 702-9981370-3317810-24391894961_274,24391894961,274,702-9981370-3317810,Valid,24391894961
2025-08-30,AMZN8692211,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 702-4828738-8692211-24391894961_278,24391894961,278,702-4828738-8692211,Valid,24391894961
2025-08-31,AMZN0987469,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-9374938-0987469-24391894961_284,24391894961,284,701-9374938-0987469,Valid,24391894961
2025-08-29,AMZN8502622,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 702-7923655-8502622-24391894961_290,24391894961,290,702-7923655-8502622,Valid,24391894961
2025-08-30,AMZN2583441,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 702-3293085-2583441-24391894961_294,24391894961,294,702-3293085-2583441,Valid,24391894961
2025-08-29,AMZN4288202,Draft,Amazon.ca,SALTT15-ALLT,1.0,35.0,35.0,Order 702-2270868-4288202-24391894961_298,24391894961,298,702-2270868-4288202,Valid,24391894961
2025-08-29,AMZN1235459,Draft,Amazon.ca,SALTT15-FRUT,1.0,35.0,35.0,Order 702-5082669-1235459-24391894961_302,24391894961,302,702-5082669-1235459,Valid,24391894961
2025-09-04,AMZN6800247,Draft,Amazon.ca,SALTT15-FRUT,1.0,34.99,34.99,Order 701-9529367-6800247-24391894961_307,24391894961,307,701-9529367-6800247,Valid,24391894961
2025-09-03,AMZN0046613,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 702-7888704-0046613-24391894961_313,24391894961,313,702-7888704-0046613,Valid,24391894961
2025-09-04,AMZN1222614,Draft,Amazon.ca,SALTT15-FRUT,1.0,34.99,34.99,Order 702-4938486-1222614-24391894961_317,24391894961,317,702-4938486-1222614,Valid,24391894961
2025-09-03,AMZN6056244,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 701-2878968-6056244-24391894961_321,24391894961,321,701-2878968-6056244,Valid,24391894961
2025-09-06,AMZN5313846,Draft,Amazon.ca,SALTT30-FRUT,1.0,59.99,59.99,Order 702-6090569-5313846-24391894961_327,24391894961,327,702-6090569-5313846,Valid,24391894961
2025-09-04,AMZN7876222,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 702-8069095-7876222-24391894961_331,24391894961,331,702-8069095-7876222,Valid,24391894961
2025-09-03,AMZN6707413,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 701-6811859-6707413-24391894961_337,24391894961,337,701-6811859-6707413,Valid,24391894961
2025-09-04,AMZN4263438,Draft,Amazon.ca,SALTT30-FRUT,1.0,59.99,59.99,Order 702-4452336-4263438-24391894961_341,24391894961,341,702-4452336-4263438,Valid,24391894961
2025-09-05,AMZN7401864,Draft,Amazon.ca,SALTT30-FRUT,1.0,59.99,59.99,Order 702-7388493-7401864-24391894961_345,24391894961,345,702-7388493-7401864,Valid,24391894961
2025-09-06,AMZN0719458,Draft,Amazon.ca,SALTT30-CLEN,1.0,59.99,59.99,Order 701-5157740-0719458-24391894961_349,24391894961,349,701-5157740-0719458,Valid,24391894961
2025-09-04,AMZN7315405,Draft,Amazon.ca,SALTT30-FRUT,1.0,59.99,59.99,Order 702-9405931-7315405-24391894961_353,24391894961,353,702-9405931-7315405,Valid,24391894961
2025-09-02,AMZN1261839,Draft,Amazon.ca,SALTT30-CLEN,1.0,60.0,60.0,Order 701-8336486-1261839-24391894961_359,24391894961,359,701-8336486-1261839,Valid,24391894961
2025-09-05,AMZN3149825,Draft,Amazon.ca,SALTT30-LOCO,1.0,60.0,60.0,Order 702-2099852-3149825-24391894961_363,24391894961,363,702-2099852-3149825,Valid,24391894961
2025-09-02,AMZN5097815,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 702-7151359-5097815-24391894961_369,24391894961,369,702-7151359-5097815,Valid,24391894961
2025-09-05,AMZN0517844,Draft,Amazon.ca,SALTT30-CLEN,1.0,59.99,59.99,Order 702-0343946-0517844-24391894961_375,24391894961,375,702-0343946-0517844,Valid,24391894961
2025-09-05,AMZN6860248,Draft,Amazon.ca,SALTT30-LOCO,1.0,59.99,59.99,Order 701-9363519-6860248-24391894961_379,24391894961,379,701-9363519-6860248,Valid,24391894961
2025-09-04,AMZN5232255,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 701-9060804-5232255-24391894961_385,24391894961,385,701-9060804-5232255,Valid,24391894961
2025-09-04,AMZN5930661,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 702-4258543-5930661-24391894961_391,24391894961,391,702-4258543-5930661,Valid,24391894961
2025-09-06,AMZN3066651,Draft,Amazon.ca,SALTT30-MNGO,1.0,59.99,59.99,Order 702-5908241-3066651-24391894961_395,24391894961,395,702-5908241-3066651,Valid,24391894961
2025-09-03,AMZN2825843,Draft,Amazon.ca,SALTT30-CHRY,1.0,59.99,59.99,Order 701-1304616-2825843-24391894961_399,24391894961,399,701-1304616-2825843,Valid,24391894961
2025-09-02,AMZN6906636,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 701-6087343-6906636-24391894961_403,24391894961,403,701-6087343-6906636,Valid,24391894961
2025-09-06,AMZN5263404,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 702-1607186-5263404-24391894961_409,24391894961,409,702-1607186-5263404,Valid,24391894961
2025-09-06,AMZN7933867,Draft,Amazon.ca,SALTT15-FRUT,1.0,34.99,34.99,Order 701-3188829-7933867-24391894961_415,24391894961,415,701-3188829-7933867,Valid,24391894961
2025-09-03,AMZN0421860,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 702-6291395-0421860-24391894961_419,24391894961,419,702-6291395-0421860,Valid,24391894961
2025-09-05,AMZN0346635,Draft,Amazon.ca,SALTT15-ALLT,1.0,34.99,34.99,Order 701-9563813-0346635-24391894961_425,24391894961,425,701-9563813-0346635,Valid,24391894961
