Invoice Number,Customer Name,Payment Amount,Payment Date,Paid Through Account,Payment Mode,Description,Reference Number,settlement_id
AMZN0046613,Amazon.ca,60.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 313 - Merchant Order ID: 702-7888704-0046613,24391894961,24391894961
AMZN0198669,Amazon.ca,60.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 234 - Merchant Order ID: 701-7760636-0198669,24391894961,24391894961
AMZN0220267,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 555 - Merchant Order ID: 702-5622819-0220267,24391894961,24391894961
AMZN0250631,Amazon.ca,35.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 246 - Merchant Order ID: 702-0594927-0250631,24391894961,24391894961
AMZN0346635,Amazon.ca,34.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 425 - Merchant Order ID: 701-9563813-0346635,24391894961,24391894961
AMZN0421860,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 419 - Merchant Order ID: 702-6291395-0421860,24391894961,24391894961
AMZN0482659,Amazon.ca,35.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 250 - Merchant Order ID: 701-9354910-0482659,24391894961,24391894961
AMZN0517844,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 375 - Merchant Order ID: 702-0343946-0517844,24391894961,24391894961
AMZN0669026,Amazon.ca,34.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 447 - Merchant Order ID: 702-5350612-0669026,24391894961,24391894961
AMZN0719458,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 349 - Merchant Order ID: 701-5157740-0719458,24391894961,24391894961
AMZN0798647,Amazon.ca,35.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 477 - Merchant Order ID: 702-4071942-0798647,24391894961,24391894961
AMZN0956253,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 503 - Merchant Order ID: 701-7883608-0956253,24391894961,24391894961
AMZN0987469,Amazon.ca,60.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 284 - Merchant Order ID: 701-9374938-0987469,24391894961,24391894961
AMZN1101826,Amazon.ca,60.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 262 - Merchant Order ID: 701-6033445-1101826,24391894961,24391894961
AMZN1137035,Amazon.ca,60.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 238 - Merchant Order ID: 701-0191389-1137035,24391894961,24391894961
AMZN1158631,Amazon.ca,35.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 230 - Merchant Order ID: 701-7641265-1158631,24391894961,24391894961
AMZN1222614,Amazon.ca,34.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 317 - Merchant Order ID: 702-4938486-1222614,24391894961,24391894961
AMZN1235459,Amazon.ca,35.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 302 - Merchant Order ID: 702-5082669-1235459,24391894961,24391894961
AMZN1257030,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 563 - Merchant Order ID: 702-1395540-1257030,24391894961,24391894961
AMZN1261839,Amazon.ca,60.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 359 - Merchant Order ID: 701-8336486-1261839,24391894961,24391894961
AMZN1658633,Amazon.ca,35.0,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 461 - Merchant Order ID: 701-7074412-1658633,24391894961,24391894961
AMZN2070628,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 535 - Merchant Order ID: 702-2261809-2070628,24391894961,24391894961
AMZN2088212,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 543 - Merchant Order ID: 701-2424884-2088212,24391894961,24391894961
AMZN2152201,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 529 - Merchant Order ID: 702-8052070-2152201,24391894961,24391894961
AMZN2281016,Amazon.ca,59.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 675 - Merchant Order ID: 702-0262560-2281016,24391894961,24391894961
AMZN2360215,Amazon.ca,119.98,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 583 - Merchant Order ID: 702-3394645-2360215,24391894961,24391894961
AMZN2429800,Amazon.ca,34.99,2025-09-13,Amazon.ca Clearing,Direct Deposit,Row ID: 485 - Merchant Order ID: 701-1188530-2429800,24391894961,24391894961
