Invoice Date,Invoice Number,Invoice Status,Customer Name,SKU,Quantity,Item Price,Invoice Line Amount,Notes,Reference Number,row_id,merchant_order_id,Validation_Flag,settlement_id
2025-08-18,AMZN2315442,Draft,Amazon.ca,SALTT30-ALLT,1.0,60.0,60.0,Order 701-0590237-2315442-24288684721_22,24288684721,22,701-0590237-2315442,Valid,24288684721
2025-08-19,AMZN2040201,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 702-7788328-2040201-24288684721_27,24288684721,27,702-7788328-2040201,Valid,24288684721
2025-08-24,AMZN4176203,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-9796273-4176203-24288684721_32,24288684721,32,701-9796273-4176203,Valid,24288684721
2025-08-25,AMZN4670666,Draft,Amazon.ca,SALTT15-ALLT,1.0,35.0,35.0,Order 701-7835502-4670666-24288684721_37,24288684721,37,701-7835502-4670666,Valid,24288684721
2025-08-25,AMZN6657829,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-3276764-6657829-24288684721_41,24288684721,41,701-3276764-6657829,Valid,24288684721
2025-08-25,AMZN6949825,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 702-3829770-6949825-24288684721_45,24288684721,45,702-3829770-6949825,Valid,24288684721
2025-08-22,AMZN6596260,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 701-3534640-6596260-24288684721_51,24288684721,51,701-3534640-6596260,Valid,24288684721
2025-08-22,AMZN1371678,Draft,Non-Amazon CA,SALTT30-ULTA,1.0,0.0,0.0,Order S01-0036312-1371678-24288684721_56,24288684721,56,CONSUMER-2025821-20216,Valid - $0 Transaction,24288684721
2025-08-17,AMZN7931465,Draft,Amazon.ca,SALTT30-BERY,1.0,60.0,60.0,Order 701-6555548-7931465-24288684721_60,24288684721,60,701-6555548-7931465,Valid,24288684721
2025-08-24,AMZN4170635,Draft,Amazon.ca,SALTT30-CHOC,1.0,60.0,60.0,Order 702-8796839-4170635-24288684721_65,24288684721,65,702-8796839-4170635,Valid,24288684721
2025-08-24,AMZN8912250,Draft,Amazon.ca,SALTT30-GRPF,1.0,60.0,60.0,Order 701-2235635-8912250-24288684721_69,24288684721,69,701-2235635-8912250,Valid,24288684721
2025-08-24,AMZN8912250,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-2235635-8912250-24288684721_76,24288684721,76,701-2235635-8912250,Valid,24288684721
2025-08-25,AMZN6013037,Draft,Amazon.ca,SALTT30-LOCO,1.0,60.0,60.0,Order 702-8717126-6013037-24288684721_83,24288684721,83,702-8717126-6013037,Valid,24288684721
2025-08-25,AMZN1141052,Draft,Amazon.ca,SALTT30-BERY,1.0,60.0,60.0,Order 702-3777422-1141052-24288684721_87,24288684721,87,702-3777422-1141052,Valid,24288684721
2025-08-23,AMZN8021855,Draft,Amazon.ca,SALTT30-CLEN,1.0,60.0,60.0,Order 701-3521086-8021855-24288684721_91,24288684721,91,701-3521086-8021855,Valid,24288684721
2025-08-15,AMZN4976266,Draft,Amazon.ca,SALTT30-MELN,1.0,60.0,60.0,Order 702-1278184-4976266-24288684721_96,24288684721,96,702-1278184-4976266,Valid,24288684721
2025-08-20,AMZN2464206,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 701-7421390-2464206-24288684721_101,24288684721,101,701-7421390-2464206,Valid,24288684721
2025-08-24,AMZN4170635,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 702-8796839-4170635-24288684721_106,24288684721,106,702-8796839-4170635,Valid,24288684721
2025-08-27,AMZN9915433,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 702-2285364-9915433-24288684721_119,24288684721,119,702-2285364-9915433,Valid,24288684721
2025-08-28,AMZN9809069,Draft,Amazon.ca,SALTT30-CHRY,1.0,60.0,60.0,Order 702-2204494-9809069-24288684721_123,24288684721,123,702-2204494-9809069,Valid,24288684721
2025-08-28,AMZN3932270,Draft,Amazon.ca,SALTT30-SUMR,1.0,60.0,60.0,Order 701-0305485-3932270-24288684721_127,24288684721,127,701-0305485-3932270,Valid,24288684721
2025-08-28,AMZN9809069,Draft,Amazon.ca,SALTT30-BLUE,1.0,60.0,60.0,Order 702-2204494-9809069-24288684721_133,24288684721,133,702-2204494-9809069,Valid,24288684721
2025-08-27,AMZN2780236,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-1757151-2780236-24288684721_137,24288684721,137,701-1757151-2780236,Valid,24288684721
2025-08-26,AMZN7561831,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 702-1682204-7561831-24288684721_141,24288684721,141,702-1682204-7561831,Valid,24288684721
2025-08-28,AMZN2531406,Draft,Amazon.ca,SALTT15-ALLT,1.0,35.0,35.0,Order 701-8851173-2531406-24288684721_145,24288684721,145,701-8851173-2531406,Valid,24288684721
2025-08-26,AMZN4926633,Draft,Amazon.ca,SALTT30-LMLM,1.0,60.0,60.0,Order 702-2447031-4926633-24288684721_149,24288684721,149,702-2447031-4926633,Valid,24288684721
2025-08-28,AMZN3899435,Draft,Amazon.ca,SALTT30-BLUE,1.0,60.0,60.0,Order 702-8873090-3899435-24288684721_153,24288684721,153,702-8873090-3899435,Valid,24288684721
2025-08-28,AMZN6086626,Draft,Amazon.ca,SALTT30-SUMR,1.0,60.0,60.0,Order 702-6834742-6086626-24288684721_157,24288684721,157,702-6834742-6086626,Valid,24288684721
2025-08-28,AMZN6086626,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 702-6834742-6086626-24288684721_161,24288684721,161,702-6834742-6086626,Valid,24288684721
2025-08-27,AMZN7077824,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-5684679-7077824-24288684721_165,24288684721,165,701-5684679-7077824,Valid,24288684721
2025-08-27,AMZN1108225,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 702-6263338-1108225-24288684721_171,24288684721,171,702-6263338-1108225,Valid,24288684721
2025-08-27,AMZN1011436,Draft,Amazon.ca,SALTT30-BLUE,1.0,60.0,60.0,Order 702-5393018-1011436-24288684721_175,24288684721,175,702-5393018-1011436,Valid,24288684721
2025-08-28,AMZN8278660,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 701-7043308-8278660-24288684721_179,24288684721,179,701-7043308-8278660,Valid,24288684721
2025-08-27,AMZN7898625,Draft,Amazon.ca,SALTT30-FRUT,1.0,60.0,60.0,Order 701-0268691-7898625-24288684721_185,24288684721,185,701-0268691-7898625,Valid,24288684721
2025-08-27,AMZN4274615,Draft,Amazon.ca,SALTT15-FRUT,1.0,35.0,35.0,Order 702-0488530-4274615-24288684721_189,24288684721,189,702-0488530-4274615,Valid,24288684721
2025-08-26,AMZN6027403,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 701-1622470-6027403-24288684721_193,24288684721,193,701-1622470-6027403,Valid,24288684721
2025-08-26,AMZN0001022,Draft,Amazon.ca,SALTT30-ORNG,1.0,60.0,60.0,Order 701-9697901-0001022-24288684721_197,24288684721,197,701-9697901-0001022,Valid,24288684721
2025-08-28,AMZN1737843,Draft,Amazon.ca,SALTT30-ULTA,1.0,60.0,60.0,Order 702-8105877-1737843-24288684721_201,24288684721,201,702-8105877-1737843,Valid,24288684721
2025-08-28,AMZN1750629,Draft,Amazon.ca,SALTT15-FRUT,1.0,35.0,35.0,Order 701-7220674-1750629-24288684721_205,24288684721,205,701-7220674-1750629,Valid,24288684721
2025-08-27,AMZN5082704,Draft,Amazon.ca,SALTT30-CRML,1.0,15.25,15.25,WAREHOUSE_DAMAGE-24288684721_209,24288684721,209,,Valid,24288684721
