Invoice Number,Customer Name,Payment Amount,Payment Date,Paid Through Account,Payment Mode,Description,Reference Number,settlement_id
AMZN0000222,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 870 - Merchant Order ID: 701-1846984-0000222,24495221541,24495221541
AMZN0096258,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 1187 - Merchant Order ID: 702-5907660-0096258,24495221541,24495221541
AMZN0153025,Amazon.ca,34.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 1057 - Merchant Order ID: 701-4420005-0153025,24495221541,24495221541
AMZN0162615,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 908 - Merchant Order ID: 702-2973969-0162615,24495221541,24495221541
AMZN0169840,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 824 - Merchant Order ID: 701-0351518-0169840,24495221541,24495221541
AMZN0225835,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 1041 - Merchant Order ID: 702-4375328-0225835,24495221541,24495221541
AMZN0347405,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 912 - Merchant Order ID: 701-9340846-0347405,24495221541,24495221541
AMZN0381043,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 1277 - Merchant Order ID: 701-9533629-0381043,24495221541,24495221541
AMZN0388246,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 969 - Merchant Order ID: 702-8058565-0388246,24495221541,24495221541
AMZN0388246,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 987 - Merchant Order ID: 702-8058565-0388246,24495221541,24495221541
AMZN0453049,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 1335 - Merchant Order ID: 701-3243955-0453049,24495221541,24495221541
AMZN0544239,Amazon.ca,59.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 963 - Merchant Order ID: 702-5390071-0544239,24495221541,24495221541
AMZN0566651,Amazon.ca,34.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 702 - Merchant Order ID: 701-5738750-0566651,24495221541,24495221541
AMZN0830629,Amazon.ca,34.99,2025-09-27,Amazon.ca Clearing,Direct Deposit,Row ID: 1285 - Merchant Order ID: 702-9969182-0830629,24495221541,24495221541
